Ethnicity,Gender,Age,Admitted,Admit_Type,Application_Term,HS_GPA,Old_SAT,New_SAT,ACT,Enrolled,Scholarship_App,FinAid_Applicant,High_School_Percentile,FirstGen_Ind
Black,Male,19.0,Yes,FR,Fall 2021,3.21,,,,No,N,N,44.0,No
Asian,Male,19.0,Yes,FR,Fall 2021,3.579,,950.0,,No,N,Y,84.0,No
White,Male,19.0,No,FR,Fall 2021,,,,,No,N,Y,,No
Black,Male,18.0,Yes,FR,Fall 2021,3.229,,750.0,,No,N,Y,61.0,No
Black,Female,19.0,Yes,FR,Fall 2021,3.089,,,,No,N,Y,72.0,No
White,Male,18.0,Yes,FR,Fall 2021,3.429,,,,No,N,Y,78.0,No
Unknown,Female,18.0,No,FR,Fall 2021,4.0,,,,No,N,Y,100.0,No
White,Female,18.0,Yes,FR,Fall 2021,4.0,,,,No,N,Y,98.0,No
Black,Female,19.0,Yes,FR,Fall 2021,3.217,,,,No,N,Y,57.0,No
Black,Female,19.0,No,FR,Fall 2021,2.68,,,,No,N,Y,23.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2021,3.553,,,,No,N,Y,61.0,No
White,Female,19.0,Yes,FR,Fall 2021,4.0,,,,No,N,Y,96.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.437,,1020.0,,No,N,Y,74.0,No
Black,Male,19.0,No,FR,Fall 2021,2.708,,,,No,N,Y,18.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2021,3.875,,1120.0,,No,N,Y,98.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2021,3.88,,1120.0,,No,N,Y,97.0,No
Black,Female,19.0,Yes,FR,Fall 2021,3.487,,,,No,N,Y,45.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.018,,,,No,N,N,68.0,No
Black,Female,19.0,Yes,FR,Fall 2021,3.4038,,,18.0,Yes,N,Y,75.0,Yes
Black,Female,18.0,No,FR,Fall 2021,,,,16.0,No,N,N,,No
Hispanic,Male,19.0,Yes,FR,Fall 2021,3.462,,,,No,N,Y,,No
Hispanic,Female,18.0,No,FR,Fall 2021,,,,,No,N,N,,No
Unknown,Female,19.0,Yes,FR,Fall 2021,3.262,,800.0,,No,N,Y,76.0,No
White,Male,19.0,Yes,FR,Fall 2021,3.021,,,,No,N,N,39.0,No
White,Female,18.0,Yes,FR,Fall 2021,3.653,,,,Yes,N,Y,79.0,Yes
Hispanic,Male,18.0,Yes,FR,Fall 2021,3.54,,,,No,N,Y,82.0,No
White,Female,18.0,Yes,FR,Fall 2021,3.365,,,,No,N,Y,64.0,No
Unknown,Male,19.0,Yes,FR,Fall 2021,3.809,,1370.0,27.0,No,N,Y,84.0,No
Black,Male,19.0,Yes,FR,Fall 2021,2.822,,,,Yes,N,Y,57.0,Yes
Hispanic,Male,19.0,No,FR,Fall 2021,3.348,,,14.0,No,N,N,67.0,No
White,Male,19.0,Yes,FR,Fall 2021,3.854,,1210.0,,Yes,N,Y,94.0,No
Black,Female,19.0,Yes,FR,Fall 2021,3.2,,,,No,N,N,65.0,No
Black,Male,18.0,Yes,FR,Fall 2021,3.667,,,,No,N,Y,89.0,No
Black,Female,19.0,Yes,FR,Fall 2021,2.89,,,,Yes,N,Y,46.0,Yes
Black,Female,19.0,Yes,FR,Fall 2021,3.774,,,,No,N,N,89.0,No
Black,Female,18.0,Yes,FR,Fall 2021,3.1628,,930.0,,No,N,N,75.0,No
White,Male,19.0,No,FR,Fall 2021,,,,,No,N,N,,No
White,Male,18.0,Yes,FR,Fall 2021,4.0,,,,No,N,Y,98.0,No
Black,Male,19.0,Yes,FR,Fall 2021,2.925,,,19.0,No,N,Y,41.0,No
Black,Female,18.0,Yes,FR,Fall 2021,3.3409,,,,No,N,Y,69.0,No
Asian,Female,18.0,Yes,FR,Fall 2021,2.89,,1350.0,,No,N,N,30.0,No
Unknown,Female,19.0,Yes,FR,Fall 2021,3.674,,1100.0,,Yes,N,Y,68.0,No
Black,Male,19.0,No,FR,Fall 2021,3.31,,,,No,N,Y,57.0,No
Hispanic,Male,18.0,Yes,FR,Fall 2021,3.256,,1000.0,,No,N,Y,65.0,No
Hispanic,Female,19.0,No,FR,Fall 2021,,,,,No,N,N,,No
Unknown,Female,19.0,No,FR,Fall 2021,,,850.0,,No,N,Y,,No
Multi-race,Male,19.0,Yes,FR,Fall 2021,3.773,,1240.0,,No,N,Y,66.0,No
Asian,Female,18.0,Yes,FR,Fall 2021,3.952,,1090.0,,Yes,N,Y,89.0,Yes
Asian,Female,18.0,Yes,FR,Fall 2021,2.714,,,,Yes,N,Y,80.0,Yes
Black,Female,18.0,Yes,FR,Fall 2021,3.342,,,,No,N,Y,48.0,No
Unknown,Male,18.0,Yes,FR,Fall 2021,3.15,,990.0,,No,N,N,49.0,No
White,Male,19.0,No,FR,Fall 2021,,,,,No,N,N,,No
Hispanic,Male,20.0,No,FR,Fall 2021,3.538,,,,No,N,Y,90.0,No
White,Female,18.0,Yes,FR,Fall 2021,3.8,,,,No,N,Y,87.0,No
White,Female,18.0,Yes,FR,Fall 2021,3.36,,,,No,N,N,,No
Black,Male,19.0,Yes,FR,Fall 2021,3.16,,,,No,N,Y,61.0,No
Unknown,Female,18.0,No,FR,Fall 2021,,,910.0,,No,N,N,,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.5,,,,No,N,Y,48.0,No
Black,Female,19.0,Yes,FR,Fall 2021,3.217,,,,No,N,N,66.0,No
Hispanic,Female,18.0,No,FR,Fall 2021,,,,,No,N,N,,No
Black,Female,19.0,Yes,FR,Fall 2021,2.77,,,,Yes,N,Y,62.0,Yes
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.222,,780.0,,No,N,N,73.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.652,,,,No,N,Y,80.0,No
Black,Male,19.0,No,FR,Fall 2021,,,,,No,N,Y,,No
Hispanic,Female,19.0,No,FR,Fall 2021,2.975,,650.0,,No,N,N,40.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.48,,920.0,,No,N,Y,78.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.472,,910.0,,No,N,Y,85.0,No
White,Female,19.0,Yes,FR,Fall 2021,,,940.0,,Yes,N,Y,70.0,Yes
Unknown,Male,19.0,Yes,FR,Fall 2021,3.368,,1440.0,,No,N,N,78.0,No
Black,Male,19.0,No,FR,Fall 2021,2.238,,,,No,N,N,5.0,No
Black,Female,18.0,Yes,FR,Fall 2021,3.353,,,,No,N,Y,86.0,No
White,Male,18.0,Yes,FR,Fall 2021,3.675,,1260.0,,Yes,N,Y,88.0,Yes
Black,Female,18.0,Yes,FR,Fall 2021,3.317,,690.0,,Yes,N,Y,67.0,Yes
Asian,Male,18.0,Yes,FR,Fall 2021,3.133,,840.0,,No,N,Y,57.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.32,,,,No,N,N,63.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.104,,,,No,N,N,67.0,No
Unknown,Male,19.0,Yes,FR,Fall 2021,3.0,,1060.0,,No,N,Y,50.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2021,3.095,,1120.0,,No,N,N,58.0,No
White,Male,18.0,No,FR,Fall 2021,3.56,,,,No,N,N,,No
Asian,Female,18.0,Yes,FR,Fall 2021,4.0,,1220.0,,Yes,N,Y,99.0,No
Black,Female,18.0,No,FR,Fall 2021,,,,,No,N,Y,,No
White,Male,19.0,Yes,FR,Fall 2021,2.91,,,,No,N,Y,18.0,No
Hispanic,Female,18.0,No,FR,Fall 2021,3.521,,,,No,N,Y,74.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2021,3.016,,,,No,N,Y,32.0,No
White,Male,18.0,Yes,FR,Fall 2021,3.5,,,,No,N,Y,89.0,No
Black,Male,19.0,Yes,FR,Fall 2021,3.2,,,,No,N,Y,54.0,No
Black,Female,19.0,No,FR,Fall 2021,,,,,No,N,Y,,No
White,Male,19.0,No,FR,Fall 2021,2.825,,,,No,N,Y,42.0,No
White,Female,18.0,Yes,FR,Fall 2021,3.875,,1060.0,,Yes,N,Y,,No
White,Female,18.0,Yes,FR,Fall 2021,3.837,,,21.0,No,N,Y,64.0,No
Unknown,Female,18.0,Yes,FR,Fall 2021,3.925,,1280.0,,No,N,Y,95.0,No
Unknown,Female,19.0,Yes,FR,Fall 2021,2.81,,860.0,,Yes,N,Y,67.0,Yes
Black,Female,19.0,Yes,FR,Fall 2021,3.33,,,,No,N,Y,42.0,No
Black,Male,18.0,Yes,FR,Fall 2021,3.48,,1060.0,,No,N,Y,82.0,No
Black,Male,19.0,Yes,FR,Fall 2021,3.1719,,,,No,N,Y,89.0,No
White,Male,18.0,Yes,FR,Fall 2021,4.0,,,,Yes,N,Y,,Yes
White,Female,22.0,Yes,FR,Fall 2021,2.768,,,,Yes,N,N,11.0,No
Black,Male,18.0,Yes,FR,Fall 2021,2.92,,,,No,N,N,66.0,No
White,Female,19.0,Yes,FR,Fall 2021,,,,,Yes,N,Y,74.0,Yes
White,Male,18.0,Yes,FR,Fall 2021,3.468,,,,No,N,Y,78.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2021,3.364,,,,No,N,Y,56.0,No
White,Female,19.0,Yes,FR,Fall 2021,3.5,,1020.0,,Yes,N,Y,50.0,Yes
White,Female,19.0,Yes,FR,Fall 2021,3.125,,,,No,N,N,45.0,No
Hispanic,Female,18.0,No,FR,Fall 2021,,,,,No,N,N,,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.449,,1020.0,,No,N,Y,73.0,No
Unknown,Female,19.0,Yes,FR,Fall 2021,3.673,,940.0,,No,N,Y,92.0,No
White,Female,19.0,Yes,FR,Fall 2021,4.0,,,30.0,No,N,Y,86.0,No
Black,Female,19.0,Yes,FR,Fall 2021,3.174,,,,No,N,N,72.0,No
Unknown,Female,18.0,Yes,FR,Fall 2021,3.81,,1060.0,,No,N,N,73.0,No
Black,Male,18.0,No,FR,Fall 2021,,,730.0,,No,N,N,,No
White,Female,18.0,Yes,FR,Fall 2021,3.922,,,,No,N,Y,83.0,No
Black,Male,20.0,Yes,FR,Fall 2021,2.767,,,,Yes,N,Y,29.0,Yes
White,Female,19.0,Yes,FR,Fall 2021,3.88,,,,Yes,N,N,,No
Hispanic,Male,19.0,Yes,FR,Fall 2021,3.958,,1360.0,27.0,No,N,Y,96.0,No
Black,Female,19.0,Yes,FR,Fall 2021,3.486,,,,No,N,Y,79.0,No
Hispanic,Male,18.0,Yes,FR,Fall 2021,3.763,,1110.0,,No,N,Y,97.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.0,,,,No,N,Y,57.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.432,,,,No,N,Y,51.0,No
White,Female,19.0,Yes,FR,Fall 2021,3.271,,,,Yes,N,Y,52.0,Yes
White,Male,19.0,Yes,FR,Fall 2021,3.63,,,,No,N,N,66.0,No
Unknown,Female,19.0,Yes,FR,Fall 2021,3.262,,1130.0,,No,N,Y,84.0,No
Hispanic,Male,19.0,Yes,FR,Fall 2021,2.969,,,,No,N,Y,84.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.111,,,,No,N,N,76.0,No
White,Female,19.0,Yes,FR,Fall 2021,3.72,,,23.0,No,N,Y,81.0,No
Asian,Female,18.0,Yes,FR,Fall 2021,3.732,,,,No,N,Y,63.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2021,,,1130.0,,Yes,N,Y,86.0,Yes
Unknown,Male,18.0,Yes,FR,Fall 2021,2.75,,970.0,,No,N,Y,7.0,No
Black,Female,18.0,Yes,FR,Fall 2021,3.22,,,,No,N,Y,75.0,No
Unknown,Female,19.0,Yes,FR,Fall 2021,3.211,,970.0,,No,N,Y,75.0,No
Black,Female,18.0,Yes,FR,Fall 2021,3.61,,,,Yes,N,Y,92.0,No
Black,Male,19.0,No,FR,Fall 2021,,,,,No,N,N,,No
Unknown,Female,19.0,Yes,FR,Fall 2021,3.082,,810.0,,No,N,N,62.0,No
Hispanic,Male,18.0,Yes,FR,Fall 2021,3.7857,,1100.0,,No,N,Y,85.0,No
Unknown,Male,19.0,Yes,FR,Fall 2021,2.78,,1100.0,,No,N,N,38.0,No
White,Female,19.0,Yes,FR,Fall 2021,4.0,,,31.0,No,N,Y,99.0,No
Black,Female,20.0,Yes,FR,Fall 2021,3.945,,,17.0,Yes,N,Y,83.0,Yes
White,Female,18.0,Yes,FR,Fall 2021,3.615,,860.0,,Yes,N,Y,61.0,No
White,Male,18.0,Yes,FR,Fall 2021,3.548,,1140.0,24.0,Yes,N,Y,82.0,No
Hispanic,Male,19.0,Yes,FR,Fall 2021,3.29,,,,No,N,Y,,No
White,Male,18.0,Yes,FR,Fall 2021,3.851,,,,No,N,Y,90.0,No
Black,Female,19.0,Yes,FR,Fall 2021,2.523,,,,No,N,Y,37.0,No
White,Male,21.0,Yes,FR,Fall 2021,3.61667,,,,Yes,N,Y,53.0,Yes
Black,Female,18.0,No,FR,Fall 2021,,,,,No,N,N,,No
Black,Male,19.0,Yes,FR,Fall 2021,,,,,Yes,N,Y,,Yes
Unknown,Female,19.0,Yes,FR,Fall 2021,3.57,,830.0,,No,N,Y,85.0,No
Hispanic,Female,18.0,No,FR,Fall 2021,3.717,,,,No,N,Y,95.0,No
Asian,Female,21.0,No,FR,Fall 2021,3.587,,,,No,N,Y,81.0,No
Black,Male,18.0,Yes,FR,Fall 2021,2.88,,,,No,N,N,36.0,No
White,Female,19.0,Yes,FR,Fall 2021,3.46,,,,Yes,N,Y,43.0,Yes
Hispanic,Male,19.0,Yes,FR,Fall 2021,3.245,,1190.0,,No,N,Y,89.0,No
Black,Female,20.0,Yes,FR,Fall 2021,3.133,,,,No,N,Y,44.0,No
Hispanic,Male,19.0,No,FR,Fall 2021,,,1340.0,,No,N,Y,,No
Black,Female,18.0,Yes,FR,Fall 2021,3.286,,,,Yes,N,Y,50.0,Yes
Hispanic,Male,19.0,No,FR,Fall 2021,2.333,,,,No,N,Y,32.0,No
Black,Male,19.0,Yes,FR,Fall 2021,3.0,,,,No,N,Y,81.0,No
Hispanic,Male,19.0,No,FR,Fall 2021,,,,,No,N,N,,No
Black,Male,18.0,Yes,FR,Fall 2021,3.349,,,,No,N,Y,,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.317,,,,No,N,Y,78.0,No
Hispanic,Female,19.0,No,FR,Fall 2021,2.593,,,,No,N,N,40.0,No
White,Male,19.0,Yes,FR,Fall 2021,3.714,,,,No,N,Y,49.0,No
White,Female,19.0,Yes,FR,Fall 2021,3.42,,,,No,N,Y,36.0,No
Black,Male,19.0,Yes,FR,Fall 2021,2.75,,,,No,N,Y,23.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2021,2.81,,,,No,N,N,33.0,No
Black,Female,19.0,Yes,FR,Fall 2021,2.975,,,,No,N,Y,31.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2021,3.188,,,,No,N,Y,47.0,No
Hispanic,Male,19.0,Yes,FR,Fall 2021,3.711,,,,Yes,N,Y,83.0,Yes
Hispanic,Female,18.0,No,FR,Fall 2021,,,1070.0,,No,N,N,,No
Hispanic,Female,18.0,No,FR,Fall 2021,3.97,,,,No,N,N,95.0,No
Hispanic,Female,18.0,No,FR,Fall 2021,,,,,No,N,N,,No
Black,Male,19.0,Yes,FR,Fall 2021,3.83,,,,No,N,Y,75.0,No
Hispanic,Female,19.0,No,FR,Fall 2021,3.788,,,23.0,No,N,Y,97.0,No
Hispanic,Female,19.0,No,FR,Fall 2021,,,,,No,N,N,,No
Hispanic,Female,18.0,Yes,FR,Fall 2021,3.84,,,,No,N,Y,86.0,No
Black,Female,19.0,Yes,FR,Fall 2021,2.76,,,,No,N,N,61.0,No
Unknown,Female,18.0,No,FR,Fall 2021,3.885,,1220.0,25.0,No,N,Y,90.0,No
Black,Male,19.0,No,FR,Fall 2021,2.436,,,,No,N,N,40.0,No
Hispanic,Female,18.0,No,FR,Fall 2021,,,,,No,N,N,,No
Black,Female,19.0,Yes,FR,Fall 2021,3.52,,,,No,N,Y,,No
Unknown,Male,19.0,No,FR,Fall 2021,,,1140.0,,No,N,N,,No
Hispanic,Female,18.0,No,FR,Fall 2021,2.54,,,,No,N,N,29.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2021,3.396,,1030.0,,No,N,Y,71.0,No
Hispanic,Female,18.0,No,FR,Fall 2021,,,,,No,N,N,,No
Black,Female,19.0,Yes,FR,Fall 2021,3.31,,,,No,N,Y,76.0,No
White,Male,18.0,Yes,FR,Fall 2021,2.935,,,,No,N,Y,66.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2021,3.55,,,,No,N,N,,No
Hispanic,Female,18.0,Yes,FR,Fall 2021,2.933,,,,No,N,N,34.0,No
Black,Female,19.0,Yes,FR,Fall 2021,3.511,,,,No,N,Y,69.0,No
Black,Female,18.0,No,FR,Fall 2021,2.56,,,12.0,No,N,Y,,No
Black,Male,18.0,Yes,FR,Fall 2021,3.0,,,,No,N,Y,27.0,No
Hispanic,Male,18.0,No,FR,Fall 2021,2.73,,,,No,N,N,42.0,No
Black,Female,19.0,Yes,FR,Fall 2021,3.204,,,,No,N,N,70.0,No
Hispanic,Male,18.0,Yes,FR,Fall 2021,2.929,,,,No,N,N,54.0,No
Black,Female,18.0,Yes,FR,Fall 2021,3.257,,,,No,N,Y,43.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2021,2.95,,,,No,N,N,73.0,No
Black,Male,19.0,Yes,FR,Fall 2021,3.059,,,,No,N,Y,71.0,No
Hispanic,Male,19.0,Yes,FR,Fall 2021,3.0,,790.0,,Yes,N,Y,61.0,Yes
Black,Female,18.0,Yes,FR,Fall 2021,,,780.0,,Yes,N,Y,33.0,Yes
Black,Female,18.0,Yes,FR,Fall 2021,3.087,,770.0,,Yes,N,Y,56.0,Yes
Unknown,Female,19.0,Yes,FR,Fall 2021,3.0,,1020.0,,No,N,N,52.0,No
White,Female,19.0,Yes,FR,Fall 2021,3.2,,,,Yes,N,Y,,Yes
White,Male,19.0,No,FR,Fall 2021,2.23,,,,No,N,Y,9.0,No
Black,Female,18.0,No,FR,Fall 2021,2.27,,,,No,N,N,17.0,No
Hispanic,Male,18.0,Yes,FR,Fall 2021,3.464,,,,No,N,Y,77.0,No
White,Male,18.0,No,FR,Fall 2021,2.46,,,,No,N,Y,13.0,No
Black,Male,19.0,No,FR,Fall 2021,,,,,No,N,N,,No
Black,Female,18.0,Yes,FR,Fall 2021,2.96,,,,Yes,N,Y,79.0,No
Black,Male,19.0,Yes,FR,Fall 2021,3.154,,,21.0,No,N,Y,73.0,No
Black,Male,20.0,Yes,FR,Fall 2021,2.218,,800.0,,Yes,N,Y,5.0,Yes
Black,Female,19.0,Yes,FR,Fall 2021,3.231,,,,Yes,N,Y,38.0,No
Black,Male,18.0,Yes,FR,Fall 2021,3.0,,,,No,N,N,,No
White,Female,18.0,No,FR,Fall 2021,,,,,No,N,N,,No
Hispanic,Male,18.0,Yes,FR,Fall 2021,3.33,,,,No,N,N,55.0,No
Black,Female,18.0,Yes,FR,Fall 2021,3.524,,,,No,N,Y,,No
Hispanic,Female,18.0,No,FR,Fall 2021,,,,,No,N,N,,No
Hispanic,Female,18.0,No,FR,Fall 2021,3.673,,,,No,N,Y,95.0,No
White,Female,19.0,No,FR,Fall 2021,3.173,,,,No,N,N,76.0,No
Black,Male,19.0,No,FR,Fall 2021,,,,,No,N,N,,No
Black,Female,19.0,Yes,FR,Fall 2021,3.153,,,,No,N,Y,73.0,No
Hispanic,Female,18.0,Yes,FR,Fall 2021,3.05,,,,No,N,N,65.0,No
Asian,Male,18.0,Yes,FR,Fall 2021,3.195,,,14.0,No,N,Y,62.0,No
Black,Female,18.0,Yes,FR,Fall 2021,3.91,,,,No,N,Y,84.0,No
Asian,Female,18.0,Yes,FR,Fall 2021,3.364,,,,No,N,N,65.0,No
Asian,Male,19.0,No,FR,Fall 2021,3.256,,1100.0,,No,N,N,72.0,No
Black,Female,18.0,No,FR,Fall 2021,,,,,No,N,N,,No
Black,Female,17.0,Yes,FR,Fall 2021,3.694,,,,No,N,Y,55.0,No
Hispanic,Female,19.0,No,FR,Fall 2021,3.93,,,,No,N,N,84.0,No
White,Female,19.0,Yes,FR,Fall 2021,3.421,,,,Yes,N,Y,41.0,Yes
Hispanic,Male,18.0,No,FR,Fall 2021,,,,,No,N,Y,,No
Black,Female,19.0,Yes,FR,Fall 2021,3.375,,,,No,N,Y,75.0,No
Black,Female,18.0,No,FR,Fall 2021,,,,,No,N,N,,No
Black,Female,19.0,No,FR,Fall 2021,2.223,,670.0,,No,N,N,13.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.463,,1060.0,,No,N,Y,,No
Black,Male,19.0,Yes,FR,Fall 2021,3.23,,,,No,N,Y,71.0,No
Black,Male,19.0,Yes,FR,Fall 2021,3.0,,,18.0,No,N,Y,32.0,No
White,Male,19.0,Yes,FR,Fall 2021,3.297,,,,Yes,N,Y,,Yes
Hispanic,Female,18.0,Yes,FR,Fall 2021,3.26,,970.0,,No,N,Y,82.0,No
White,Female,19.0,Yes,FR,Fall 2021,3.72,,960.0,,Yes,N,Y,56.0,Yes
Hispanic,Male,18.0,Yes,FR,Fall 2021,2.909,,,,No,N,N,72.0,No
Hispanic,Female,20.0,Yes,FR,Fall 2021,2.97,,,,No,N,Y,31.0,No
Hispanic,Male,19.0,No,FR,Fall 2021,,,,,No,N,N,,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.204,,,,No,N,N,36.0,No
Hispanic,Female,19.0,No,FR,Fall 2021,,,890.0,,No,N,N,,No
Hispanic,Female,18.0,Yes,FR,Fall 2021,3.86,,,,No,N,Y,91.0,No
Hispanic,Male,18.0,Yes,FR,Fall 2021,3.0,,,,No,N,N,42.0,No
Hispanic,Male,18.0,Yes,FR,Fall 2021,3.015,,,,No,N,N,46.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.14,,,,No,N,Y,62.0,No
Hispanic,Male,19.0,Yes,FR,Fall 2021,2.947,,,,No,N,Y,,No
Hispanic,Male,18.0,Yes,FR,Fall 2021,3.2,,,,Yes,N,Y,35.0,Yes
Black,Male,18.0,No,FR,Fall 2021,,,,,No,N,N,,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.667,,,,No,N,N,84.0,No
White,Female,18.0,No,FR,Fall 2021,3.444,,,,No,N,Y,59.0,No
Unknown,Male,19.0,Yes,FR,Fall 2021,3.324,,1090.0,,No,N,N,41.0,No
Unknown,Male,18.0,Yes,FR,Fall 2021,2.583,,930.0,,No,N,N,59.0,No
Unknown,Male,19.0,Yes,FR,Fall 2021,3.98,,880.0,,No,N,Y,52.0,No
Asian,Female,19.0,No,FR,Fall 2021,3.566,,,,No,N,Y,78.0,No
Unknown,Female,18.0,Yes,FR,Fall 2021,3.73,,1020.0,,No,N,Y,94.0,No
Black,Male,19.0,No,FR,Fall 2021,3.109,,,,No,N,N,67.0,No
Unknown,Female,18.0,No,FR,Fall 2021,2.1,,870.0,,No,N,Y,15.0,No
Black,Male,19.0,Yes,FR,Fall 2021,3.073,,870.0,,Yes,N,Y,,Yes
Black,Male,19.0,Yes,FR,Fall 2021,3.32,,,,No,N,N,82.0,No
Black,Female,18.0,Yes,FR,Fall 2021,3.462,,,,No,N,Y,76.0,No
Black,Female,19.0,Yes,FR,Fall 2021,2.917,,,,No,N,Y,63.0,No
Black,Female,18.0,Yes,FR,Fall 2021,3.78,,,,No,N,Y,77.0,No
Hispanic,Male,18.0,Yes,FR,Fall 2021,2.78,,,,No,N,N,46.0,No
Black,Male,18.0,Yes,FR,Fall 2021,3.27,,,,No,N,N,60.0,No
Black,Female,19.0,Yes,FR,Fall 2021,3.673,,,,Yes,N,Y,,Yes
Black,Female,19.0,Yes,FR,Fall 2021,3.47,,,,No,N,N,84.0,No
Black,Male,18.0,No,FR,Fall 2021,,,,,No,N,N,,No
Black,Male,19.0,Yes,FR,Fall 2021,2.72,,,,Yes,N,Y,30.0,Yes
Hispanic,Male,18.0,No,FR,Fall 2021,,,,,No,N,N,,No
Hispanic,Female,18.0,No,FR,Fall 2021,,,,,No,N,Y,,No
Hispanic,Female,19.0,No,FR,Fall 2021,,,,,No,N,N,,No
Hispanic,Female,18.0,No,FR,Fall 2021,,,,,No,N,Y,,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.302,,,,No,N,Y,40.0,No
White,Male,19.0,Yes,FR,Fall 2021,3.771,,790.0,,No,N,Y,81.0,No
Black,Female,18.0,Yes,FR,Fall 2021,3.021,,920.0,,No,N,Y,19.0,No
Hispanic,Male,18.0,Yes,FR,Fall 2021,3.417,,,,No,N,Y,79.0,No
Black,Female,18.0,No,FR,Fall 2021,,,780.0,,No,N,Y,,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.39,,,,No,N,Y,66.0,No
White,Female,18.0,Yes,FR,Fall 2021,4.0,,1440.0,,Yes,N,Y,99.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.2,,,,No,N,N,77.0,No
Black,Male,18.0,No,FR,Fall 2021,2.44,,,,No,N,N,,No
Unknown,Male,18.0,No,FR,Fall 2021,,,980.0,,No,N,Y,,No
Unknown,Male,18.0,No,FR,Fall 2021,2.738,,840.0,,No,N,Y,34.0,No
White,Male,18.0,No,FR,Fall 2021,,,,,No,N,Y,,No
Black,Female,18.0,Yes,FR,Fall 2021,3.69,,,,No,N,Y,90.0,No
Black,Female,19.0,Yes,FR,Fall 2021,2.85,,870.0,,Yes,N,Y,48.0,Yes
Black,Male,18.0,Yes,FR,Fall 2021,3.214,,,,No,N,Y,,No
Hispanic,Female,18.0,No,FR,Fall 2021,,,,,No,N,N,,No
Unknown,Male,19.0,No,FR,Fall 2021,,,,,No,N,N,,No
Black,Female,18.0,Yes,FR,Fall 2021,3.674,,,,No,N,Y,92.0,No
White,Female,18.0,No,FR,Fall 2021,3.923,,,30.0,No,N,N,92.0,No
Hispanic,Female,19.0,No,FR,Fall 2021,2.333,,,,No,N,N,20.0,No
Hispanic,Female,19.0,No,FR,Fall 2021,,,,,No,N,N,,No
Black,Male,18.0,No,FR,Fall 2021,2.7,,,,No,N,N,53.0,No
Black,Female,18.0,Yes,FR,Fall 2021,3.095,,,22.0,No,N,Y,54.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.167,,,,No,N,Y,50.0,No
Black,Female,19.0,Yes,FR,Fall 2021,2.86,,,,No,N,Y,53.0,No
Hispanic,Female,19.0,No,FR,Fall 2021,,,,,No,N,N,,No
Hispanic,Female,18.0,Yes,FR,Fall 2021,3.57,,1030.0,,No,N,Y,92.0,No
Hispanic,Male,19.0,Yes,FR,Fall 2021,3.111,,,24.0,No,N,N,69.0,No
Black,Female,18.0,Yes,FR,Fall 2021,3.05,,,,No,N,N,27.0,No
Hispanic,Male,19.0,Yes,FR,Fall 2021,3.841,,870.0,,No,N,Y,86.0,No
Hispanic,Male,19.0,Yes,FR,Fall 2021,3.178,,,,No,N,Y,60.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.46,,,,No,N,Y,81.0,No
Black,Female,19.0,Yes,FR,Fall 2021,2.761,,,,No,N,N,39.0,No
Black,Female,19.0,Yes,FR,Fall 2021,3.472,,,,No,N,Y,72.0,No
Hispanic,Female,19.0,No,FR,Fall 2021,3.761,,1030.0,,No,N,N,98.0,No
White,Female,18.0,No,FR,Fall 2021,,,,,No,N,Y,,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.0,,960.0,,No,N,Y,49.0,No
